Outcomes

Feasible: ctr.T=0.0666666666667; ctr.ctr_min=3.11111111111; ctr.ctr_max=4.05555555556; kpi2=0.315023494891; y3=0.238685462579; best-so-far=0.0699026767817
Feasible: ctr.T=0.0666666666667; ctr.ctr_min=3.11111111111; ctr.ctr_max=4.16666666667; kpi2=0.31324275297; y3=0.237260869043; best-so-far=0.0699026767817
Feasible: ctr.T=0.0666666666667; ctr.ctr_min=3.11111111111; ctr.ctr_max=4.27777777778; kpi2=0.36931807143; y3=0.28212112381; best-so-far=0.0699026767817
Feasible: ctr.T=0.0666666666667; ctr.ctr_min=3.11111111111; ctr.ctr_max=4.38888888889; kpi2=0.384491187568; y3=0.294259616721; best-so-far=0.0699026767817
Feasible: ctr.T=0.0666666666667; ctr.ctr_min=3.11111111111; ctr.ctr_max=4.5; kpi2=0.43588160271; y3=0.335371948834; best-so-far=0.0699026767817
Feasible: ctr.T=0.0666666666667; ctr.ctr_min=3.22222222222; ctr.ctr_max=3.5; kpi2=0.276651161076; y3=0.207987595528; best-so-far=0.0699026767817
Feasible: ctr.T=0.0666666666667; ctr.ctr_min=3.22222222222; ctr.ctr_max=3.61111111111; kpi2=0.231297945634; y3=0.171705023174; best-so-far=0.0699026767817
Feasible: ctr.T=0.0666666666667; ctr.ctr_min=3.22222222222; ctr.ctr_max=3.72222222222; kpi2=0.230083085009; y3=0.170733134674; best-so-far=0.0699026767817
Feasible: ctr.T=0.0666666666667; ctr.ctr_min=3.22222222222; ctr.ctr_max=3.83333333333; kpi2=0.234273047828; y3=0.174085104929; best-so-far=0.0699026767817
Feasible: ctr.T=0.0666666666667; ctr.ctr_min=3.22222222222; ctr.ctr_max=3.94444444444; kpi2=0.259387206869; y3=0.194176432162; best-so-far=0.0699026767817
Feasible: ctr.T=0.0666666666667; ctr.ctr_min=3.22222222222; ctr.ctr_max=4.05555555556; kpi2=0.274207952289; y3=0.206033028498; best-so-far=0.0699026767817
Feasible: ctr.T=0.0666666666667; ctr.ctr_min=3.22222222222; ctr.ctr_max=4.16666666667; kpi2=0.31324275297; y3=0.237260869043; best-so-far=0.0699026767817
Feasible: ctr.T=0.0666666666667; ctr.ctr_min=3.22222222222; ctr.ctr_max=4.27777777778; kpi2=0.344565735696; y3=0.262319255224; best-so-far=0.0699026767817
Feasible: ctr.T=0.0666666666667; ctr.ctr_min=3.22222222222; ctr.ctr_max=4.38888888889; kpi2=0.384491187568; y3=0.294259616721; best-so-far=0.0699026767817
Feasible: ctr.T=0.0666666666667; ctr.ctr_min=3.22222222222; ctr.ctr_max=4.5; kpi2=0.414016201805; y3=0.317879628111; best-so-far=0.0699026767817
Feasible: ctr.T=0.0666666666667; ctr.ctr_min=3.33333333333; ctr.ctr_max=3.5; kpi2=0.190339589548; y3=0.138938338305; best-so-far=0.0699026767817
Feasible: ctr.T=0.0666666666667; ctr.ctr_min=3.33333333333; ctr.ctr_max=3.61111111111; kpi2=0.183583462948; y3=0.133533437025; best-so-far=0.0699026767817
Feasible: ctr.T=0.0666666666667; ctr.ctr_min=3.33333333333; ctr.ctr_max=3.72222222222; kpi2=0.166274101902; y3=0.119685948188; best-so-far=0.0699026767817
Feasible: ctr.T=0.0666666666667; ctr.ctr_min=3.33333333333; ctr.ctr_max=3.83333333333; kpi2=0.200099989273; y3=0.146746658085; best-so-far=0.0699026767817
Feasible: ctr.T=0.0666666666667; ctr.ctr_min=3.33333333333; ctr.ctr_max=3.94444444444; kpi2=0.219203827165; y3=0.162029728399; best-so-far=0.0699026767817
Feasible: ctr.T=0.0666666666667; ctr.ctr_min=3.33333333333; ctr.ctr_max=4.05555555556; kpi2=0.26353476245; y3=0.197494476627; best-so-far=0.0699026767817
Feasible: ctr.T=0.0666666666667; ctr.ctr_min=3.33333333333; ctr.ctr_max=4.16666666667; kpi2=0.287563663442; y3=0.21671759742; best-so-far=0.0699026767817
Feasible: ctr.T=0.0666666666667; ctr.ctr_min=3.33333333333; ctr.ctr_max=4.27777777778; kpi2=0.337182959082; y3=0.256413033932; best-so-far=0.0699026767817
Feasible: ctr.T=0.0666666666667; ctr.ctr_min=3.33333333333; ctr.ctr_max=4.38888888889; kpi2=0.373764862434; y3=0.285678556614; best-so-far=0.0699026767817
Feasible: ctr.T=0.0666666666667; ctr.ctr_min=3.33333333333; ctr.ctr_max=4.5; kpi2=0.412342850935; y3=0.316540947415; best-so-far=0.0699026767817
Feasible: ctr.T=0.0666666666667; ctr.ctr_min=3.44444444444; ctr.ctr_max=3.5; kpi2=0.163881480154; y3=0.11777185079; best-so-far=0.0699026767817
Feasible: ctr.T=0.0666666666667; ctr.ctr_min=3.44444444444; ctr.ctr_max=3.61111111111; kpi2=0.139270868417; y3=0.0980833614002; best-so-far=0.0699026767817
Feasible: ctr.T=0.0666666666667; ctr.ctr_min=3.44444444444; ctr.ctr_max=3.72222222222; kpi2=0.153788875007; y3=0.109697766672; best-so-far=0.0699026767817
Feasible: ctr.T=0.0666666666667; ctr.ctr_min=3.44444444444; ctr.ctr_max=3.83333333333; kpi2=0.182427512695; y3=0.132608676823; best-so-far=0.0699026767817
Feasible: ctr.T=0.0666666666667; ctr.ctr_min=3.44444444444; ctr.ctr_max=3.94444444444; kpi2=0.209370740613; y3=0.154163259157; best-so-far=0.0699026767817
Feasible: ctr.T=0.0666666666667; ctr.ctr_min=3.44444444444; ctr.ctr_max=4.05555555556; kpi2=0.246086519311; y3=0.183535882116; best-so-far=0.0699026767817
Feasible: ctr.T=0.0666666666667; ctr.ctr_min=3.44444444444; ctr.ctr_max=4.16666666667; kpi2=0.287563663442; y3=0.21671759742; best-so-far=0.0699026767817
Feasible: ctr.T=0.0666666666667; ctr.ctr_min=3.44444444444; ctr.ctr_max=4.27777777778; kpi2=0.344322620657; y3=0.262124763192; best-so-far=0.0699026767817
Feasible: ctr.T=0.0666666666667; ctr.ctr_min=3.44444444444; ctr.ctr_max=4.38888888889; kpi2=0.373764862434; y3=0.285678556614; best-so-far=0.0699026767817
Feasible: ctr.T=0.0666666666667; ctr.ctr_min=3.44444444444; ctr.ctr_max=4.5; kpi2=0.426747162643; y3=0.328064396781; best-so-far=0.0699026767817
Feasible: ctr.T=0.0666666666667; ctr.ctr_min=3.55555555556; ctr.ctr_max=3.61111111111; kpi2=0.107157627277; y3=0.072392768488; best-so-far=0.0699026767817
Feasible: ctr.T=0.0666666666667; ctr.ctr_min=3.55555555556; ctr.ctr_max=3.72222222222; kpi2=0.136632102192; y3=0.0959723484202; best-so-far=0.0699026767817
Feasible: ctr.T=0.0666666666667; ctr.ctr_min=3.55555555556; ctr.ctr_max=3.83333333333; kpi2=0.172152262319; y3=0.124388476522; best-so-far=0.0699026767817
Feasible: ctr.T=0.0666666666667; ctr.ctr_min=3.55555555556; ctr.ctr_max=3.94444444444; kpi2=0.214578021802; y3=0.158329084108; best-so-far=0.0699026767817
Feasible: ctr.T=0.0666666666667; ctr.ctr_min=3.55555555556; ctr.ctr_max=4.05555555556; kpi2=0.245005338444; y3=0.182670937422; best-so-far=0.0699026767817
Feasible: ctr.T=0.0666666666667; ctr.ctr_min=3.55555555556; ctr.ctr_max=4.16666666667; kpi2=0.299097339972; y3=0.225944538644; best-so-far=0.0699026767817
Feasible: ctr.T=0.0666666666667; ctr.ctr_min=3.55555555556; ctr.ctr_max=4.27777777778; kpi2=0.351234714047; y3=0.267654437904; best-so-far=0.0699026767817
Feasible: ctr.T=0.0666666666667; ctr.ctr_min=3.55555555556; ctr.ctr_max=4.38888888889; kpi2=0.407011542872; y3=0.312275900964; best-so-far=0.0699026767817
Feasible: ctr.T=0.0666666666667; ctr.ctr_min=3.55555555556; ctr.ctr_max=4.5; kpi2=0.426747162643; y3=0.328064396781; best-so-far=0.0699026767817
Feasible: ctr.T=0.0666666666667; ctr.ctr_min=3.66666666667; ctr.ctr_max=3.72222222222; kpi2=0.136704367175; y3=0.0960301604066; best-so-far=0.0699026767817
Feasible: ctr.T=0.0666666666667; ctr.ctr_min=3.66666666667; ctr.ctr_max=3.83333333333; kpi2=0.180163328915; y3=0.130797329799; best-so-far=0.0699026767817
Feasible: ctr.T=0.0666666666667; ctr.ctr_min=3.66666666667; ctr.ctr_max=3.94444444444; kpi2=0.230723649702; y3=0.171245586428; best-so-far=0.0699026767817
Feasible: ctr.T=0.0666666666667; ctr.ctr_min=3.66666666667; ctr.ctr_max=4.05555555556; kpi2=0.27424058964; y3=0.206059138379; best-so-far=0.0699026767817
Feasible: ctr.T=0.0666666666667; ctr.ctr_min=3.66666666667; ctr.ctr_max=4.16666666667; kpi2=0.309585744514; y3=0.234335262278; best-so-far=0.0699026767817
Feasible: ctr.T=0.0666666666667; ctr.ctr_min=3.66666666667; ctr.ctr_max=4.27777777778; kpi2=0.385335018301; y3=0.294934681308; best-so-far=0.0699026767817
Feasible: ctr.T=0.0666666666667; ctr.ctr_min=3.66666666667; ctr.ctr_max=4.38888888889; kpi2=0.422710721774; y3=0.324835244086; best-so-far=0.0699026767817
Feasible: ctr.T=0.0666666666667; ctr.ctr_min=3.66666666667; ctr.ctr_max=4.5; kpi2=0.486991696712; y3=0.376260024036; best-so-far=0.0699026767817
Feasible: ctr.T=0.0666666666667; ctr.ctr_min=3.77777777778; ctr.ctr_max=3.83333333333; kpi2=0.232300767035; y3=0.172507280295; best-so-far=0.0699026767817
Feasible: ctr.T=0.0666666666667; ctr.ctr_min=3.77777777778; ctr.ctr_max=3.94444444444; kpi2=0.274949438895; y3=0.206626217782; best-so-far=0.0699026767817
Feasible: ctr.T=0.0666666666667; ctr.ctr_min=3.77777777778; ctr.ctr_max=4.05555555556; kpi2=0.311999790602; y3=0.236266499148; best-so-far=0.0699026767817
Feasible: ctr.T=0.0666666666667; ctr.ctr_min=3.77777777778; ctr.ctr_max=4.16666666667; kpi2=0.382390533447; y3=0.292579093424; best-so-far=0.0699026767817
Feasible: ctr.T=0.0666666666667; ctr.ctr_min=3.77777777778; ctr.ctr_max=4.27777777778; kpi2=0.42361453366; y3=0.325558293594; best-so-far=0.0699026767817
Feasible: ctr.T=0.0666666666667; ctr.ctr_min=3.77777777778; ctr.ctr_max=4.38888888889; kpi2=0.493272932248; y3=0.381285012465; best-so-far=0.0699026767817
Feasible: ctr.T=0.0666666666667; ctr.ctr_min=3.77777777778; ctr.ctr_max=4.5; kpi2=0.510318075316; y3=0.394921126919; best-so-far=0.0699026767817
Feasible: ctr.T=0.0666666666667; ctr.ctr_min=3.88888888889; ctr.ctr_max=3.94444444444; kpi2=0.320526399334; y3=0.243087786134; best-so-far=0.0699026767817
Feasible: ctr.T=0.0666666666667; ctr.ctr_min=3.88888888889; ctr.ctr_max=4.05555555556; kpi2=0.364650289577; y3=0.278386898328; best-so-far=0.0699026767817
Feasible: ctr.T=0.0666666666667; ctr.ctr_min=3.88888888889; ctr.ctr_max=4.16666666667; kpi2=0.40303532104; y3=0.309094923498; best-so-far=0.0699026767817
